x_mm,y_mm
-1060.903,-2189.502
-1053.024,-2181.009
-1045.146,-2172.517
-1037.267,-2164.024
-1029.389,-2155.532
-1021.510,-2147.040
-1013.631,-2138.547
-1005.753,-2130.055
-997.874,-2121.563
-989.995,-2113.070
-982.678,-2105.945
-975.361,-2098.820
-968.044,-2091.695
-960.727,-2084.570
-950.917,-2079.272
-941.106,-2073.973
-931.296,-2068.674
-921.485,-2063.376
-911.674,-2058.077
-900.357,-2056.385
-889.039,-2054.692
-877.722,-2053.000
-866.404,-2051.307
-855.087,-2049.615
-843.718,-2050.248
-832.349,-2050.882
-820.980,-2051.515
-809.611,-2052.149
-799.234,-2053.954
-788.857,-2055.759
-778.480,-2057.564
-768.103,-2059.370
-757.726,-2061.175
-747.349,-2062.980
-735.849,-2065.766
-724.349,-2068.552
-712.849,-2071.338
-701.350,-2074.123
-689.850,-2076.909
-678.350,-2079.695
-666.850,-2082.481
-655.351,-2085.267
-643.851,-2088.053
-632.351,-2090.839
-620.852,-2093.625
-609.352,-2096.411
-597.852,-2099.196
-586.352,-2101.982
-574.853,-2104.768
-563.433,-2107.129
-552.013,-2109.491
-540.593,-2111.852
-529.173,-2114.213
-517.753,-2116.574
-505.877,-2118.121
-494.001,-2119.667
-482.125,-2121.213
-470.249,-2122.760
-458.373,-2124.306
-446.913,-2123.737
-435.454,-2123.168
-423.995,-2122.598
-412.536,-2122.029
-401.077,-2121.460
-389.618,-2120.891
-379.107,-2119.147
-368.596,-2117.403
-358.086,-2115.660
-347.575,-2113.916
-337.064,-2112.172
-326.553,-2110.429
-316.868,-2106.097
-307.182,-2101.766
-297.496,-2097.434
-287.811,-2093.102
-278.125,-2088.771
-268.440,-2084.439
-258.512,-2077.868
-248.585,-2071.297
-238.657,-2064.726
-228.729,-2058.156
-218.802,-2051.585
-208.874,-2045.014
-198.947,-2038.443
-189.019,-2031.872
-179.091,-2025.301
-169.164,-2018.730
-159.236,-2012.159
-149.309,-2005.588
-139.381,-1999.017
-129.453,-1992.446
-119.526,-1985.875
-109.598,-1979.304
-99.671,-1972.733
-89.743,-1966.162
-79.815,-1959.591
-69.888,-1953.020
-59.960,-1946.450
-50.032,-1939.879
-40.105,-1933.308
-30.177,-1926.737
-20.250,-1920.166
-10.322,-1913.595
-0.394,-1907.024
9.533,-1900.453
19.461,-1893.882
29.388,-1887.311
39.316,-1880.740
49.244,-1874.169
59.171,-1867.598
69.099,-1861.027
79.026,-1854.456
88.954,-1847.885
98.882,-1841.315
108.809,-1834.744
118.737,-1828.173
127.073,-1823.581
135.410,-1818.990
143.747,-1814.399
153.788,-1810.335
163.830,-1806.272
173.872,-1802.209
183.858,-1802.129
